time,x,y,z
3.415,0.01,0.09,1.03
3.416,0.00,0.09,1.02
3.435,0.01,0.10,1.02
3.436,-0.00,0.11,1.03
3.437,-0.00,0.11,1.03
3.437,-0.01,0.11,1.05
3.455,-0.02,0.12,1.05
3.455,-0.04,0.12,1.08
3.456,-0.05,0.13,1.12
3.456,-0.05,0.13,1.15
3.475,-0.05,0.13,1.19
3.476,-0.05,0.13,1.22
3.476,-0.06,0.11,1.25
3.477,-0.05,0.10,1.27
3.494,-0.06,0.09,1.28
3.495,-0.04,0.07,1.28
3.495,-0.05,0.05,1.29
3.496,-0.04,0.04,1.30
3.515,-0.04,0.03,1.28
3.516,-0.04,0.03,1.27
3.517,-0.04,0.03,1.24
3.518,-0.04,0.04,1.20
3.536,-0.05,0.05,1.16
3.538,-0.04,0.06,1.13
3.539,-0.06,0.07,1.12
3.539,-0.07,0.08,1.12
3.555,-0.08,0.07,1.13
3.556,-0.08,0.07,1.16
3.557,-0.07,0.07,1.17
3.557,-0.06,0.06,1.21
3.575,-0.05,0.05,1.22
3.576,-0.04,0.03,1.22
3.577,-0.02,0.01,1.20
3.577,-0.02,-0.01,1.20
3.595,-0.01,-0.02,1.20
3.596,0.00,-0.05,1.21
3.596,0.01,-0.09,1.22
3.597,0.02,-0.13,1.23
3.615,0.03,-0.17,1.28
3.616,0.03,-0.20,1.30
3.617,0.03,-0.20,1.28
3.617,0.06,-0.21,1.29
3.635,0.08,-0.21,1.26
3.635,0.09,-0.21,1.20
3.636,0.07,-0.21,1.13
3.636,0.07,-0.19,1.06
3.655,0.08,-0.17,0.99
3.656,0.08,-0.15,0.93
3.657,0.08,-0.14,0.88
3.657,0.07,-0.13,0.84
3.675,0.06,-0.10,0.78
3.676,0.06,-0.09,0.72
3.676,0.06,-0.09,0.69
3.677,0.07,-0.09,0.66
3.695,0.08,-0.10,0.65
3.696,0.08,-0.10,0.70
3.696,0.08,-0.12,0.75
3.697,0.07,-0.13,0.80
3.715,0.09,-0.13,0.86
3.716,0.10,-0.12,0.94
3.716,0.12,-0.13,0.99
3.718,0.11,-0.12,1.04
3.736,0.11,-0.12,1.07
3.737,0.11,-0.12,1.10
3.737,0.09,-0.12,1.11
3.738,0.10,-0.13,1.11
3.755,0.10,-0.13,1.08
3.756,0.10,-0.13,1.06
3.757,0.09,-0.11,1.02
3.757,0.07,-0.09,0.98
3.782,0.06,-0.08,0.94
3.783,0.06,-0.06,0.90
3.783,0.06,-0.05,0.90
3.784,0.05,-0.04,0.86
3.805,0.05,-0.02,0.84
3.806,0.04,-0.00,0.82
3.807,0.03,0.01,0.80
3.807,0.00,0.04,0.80
3.816,-0.02,0.05,0.80
3.816,-0.02,0.07,0.78
3.816,-0.03,0.10,0.78
3.817,-0.03,0.10,0.78
3.836,-0.03,0.11,0.77
3.837,-0.02,0.12,0.78
3.837,-0.01,0.11,0.78
3.838,-0.00,0.11,0.79
3.856,0.01,0.11,0.79
3.857,0.04,0.11,0.82
3.858,0.04,0.11,0.84
3.858,0.04,0.11,0.86
3.876,0.05,0.10,0.88
3.877,0.04,0.10,0.90
3.877,0.03,0.10,0.93
